date,open,high,low,close,volume,average,barCount
2024-01-18,410.52,413.58,409.16,412.99,41734034.0,411.69,238884
2024-01-19,415.22,421.34,414.62,421.18,42541382.0,418.175,243589
2024-01-22,423.41,424.73,421.12,421.73,29680744.0,422.468,167965
2024-01-23,422.43,423.65,420.57,423.48,21985381.0,422.145,121299
2024-01-24,427.44,429.85,425.33,425.83,34264997.0,427.489,187407
2024-01-25,428.35,429.04,423.98,426.35,32818095.0,426.66,180450
2024-01-26,424.42,426.21,423.15,423.81,27727995.0,424.463,147703
2024-01-29,424.28,428.35,423.61,428.15,26848651.0,425.732,147644
2024-01-30,427.1,427.68,424.38,425.3,23775665.0,425.945,127059
2024-01-31,420.85,422.87,416.79,416.97,48411635.0,419.371,281990
2024-02-01,418.79,422.38,417.81,421.88,31951974.0,420.113,178777
2024-02-02,423.8,430.24,422.79,429.01,40752107.0,427.75,242638
2024-02-05,429.07,429.61,425.0,428.45,29221238.0,427.937,175244
2024-02-06,429.58,430.22,425.22,427.59,27356792.0,426.962,153326
2024-02-07,430.41,432.83,429.09,431.99,27676620.0,431.517,156093
2024-02-08,432.11,433.56,431.42,432.79,19975225.0,432.711,111266
2024-02-09,433.94,437.85,433.14,437.05,23874874.0,436.079,134360
2024-02-12,436.94,439.14,434.65,435.34,24581228.0,436.802,131868
2024-02-13,427.28,431.27,425.33,428.55,44422397.0,428.164,261092
2024-02-14,431.26,433.65,428.87,433.22,33654358.0,431.279,187628
2024-02-15,433.92,434.98,431.33,434.51,29559088.0,433.472,169540
2024-02-16,434.9,434.99,429.85,430.57,33101998.0,432.251,199386
2024-02-20,428.54,430.08,423.5,427.32,39016846.0,425.84,238044
2024-02-21,424.55,425.7,421.63,425.61,28588797.0,423.874,170071
2024-02-22,434.49,439.12,433.71,438.07,37770081.0,436.73,219568
2024-02-23,439.65,440.59,435.79,436.78,27911697.0,437.929,170101
2024-02-26,437.6,438.6,436.35,436.55,23381770.0,437.544,136972
2024-02-27,437.67,437.99,435.02,437.6,24890093.0,436.993,135249
2024-02-28,435.44,436.67,434.3,435.27,24007345.0,435.358,146986
2024-02-29,438.23,440.09,435.02,439.0,29586431.0,438.113,168794
2024-03-01,439.9,446.58,439.84,445.61,29521434.0,443.895,178809
2024-03-04,445.61,446.04,443.77,444.02,24154732.0,445.008,140733
2024-03-05,440.94,440.95,433.65,436.05,38610674.0,436.433,232793
2024-03-06,440.32,441.99,436.89,438.79,35334830.0,439.433,207501
2024-03-07,442.39,446.72,440.86,445.45,30476765.0,444.808,180455
2024-03-08,445.81,448.64,438.34,439.02,53603687.0,442.557,325946
2024-03-11,437.51,438.66,435.44,437.39,31596018.0,437.22,205836
2024-03-12,439.74,444.02,436.46,443.66,37550794.0,441.46,224781
2024-03-13,442.64,442.67,439.12,440.25,27396218.0,440.762,167143
2024-03-14,441.5,442.03,436.39,439.14,36277740.0,439.024,217353
2024-03-15,436.07,436.78,432.74,433.92,36053713.0,434.578,229451
2024-03-18,438.73,441.04,437.24,437.48,29557833.0,439.172,184675
2024-03-19,435.45,438.98,433.33,438.57,29888784.0,436.587,185234
2024-03-20,439.78,444.11,438.06,443.77,29405369.0,440.913,180042
2024-03-21,448.88,449.34,445.67,445.87,27137822.0,447.613,162505
2024-03-22,445.35,447.49,444.49,446.38,19765079.0,446.036,113132
2024-03-25,443.55,446.26,442.54,444.76,20421272.0,444.96,113176
2024-03-26,446.29,447.23,443.09,443.32,24309185.0,445.303,125161
2024-03-27,446.43,446.54,441.93,444.83,27215970.0,443.521,153741
